,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
2133,Viêm dạ dày ruột,nôn mửa,mất nước,tiêu chảy,
2134,Viêm dạ dày ruột,nôn mửa,mắt thâm,tiêu chảy,
2135,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,
2136,Viêm dạ dày ruột,nôn mửa,mắt thâm,mất nước,tiêu chảy
2137,Viêm dạ dày ruột,mắt thâm,mất nước,tiêu chảy,
2138,Viêm dạ dày ruột,nôn mửa,mất nước,tiêu chảy,
2139,Viêm dạ dày ruột,nôn mửa,mắt thâm,tiêu chảy,
2140,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
2141,Hen phế quản,ho,sốt cao,khó thở,di tuyền gia đình
2142,Hen phế quản,mệt mỏi,sốt cao,khó thở,di tuyền gia đình
2143,Hen phế quản,mệt mỏi,ho,khó thở,di tuyền gia đình
2144,Hen phế quản,mệt mỏi,ho,sốt cao,di tuyền gia đình
2145,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
2146,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
2147,Hen phế quản,mệt mỏi,ho,sốt cao,khó thở
2148,Hen phế quản,ho,sốt cao,khó thở,di tuyền gia đình
2149,Hen phế quản,mệt mỏi,sốt cao,khó thở,di tuyền gia đình
2150,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
2151,Tăng huyết áp,đau ngực,chóng mặt,chóng mặt,mất tập trung
2152,Tăng huyết áp,đau đầu,chóng mặt,chóng mặt,mất tập trung
2153,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
2154,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
2155,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
2156,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,chóng mặt
2157,Tăng huyết áp,đau ngực,chóng mặt,chóng mặt,mất tập trung
2158,Tăng huyết áp,đau đầu,chóng mặt,chóng mặt,mất tập trung
2159,Tăng huyết áp,đau đầu,đau ngực,chóng mặt,mất tập trung
2160,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
2161,Chứng đau nửa đầu,khó tiêu,đau đầu,thị lực mờ,cảm giác đói quá mức
2162,Chứng đau nửa đầu,ợ chua,đau đầu,thị lực mờ,cảm giác đói quá mức
2163,Chứng đau nửa đầu,ợ chua,khó tiêu,thị lực mờ,cảm giác đói quá mức
2164,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,cảm giác đói quá mức
2165,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
2166,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
2167,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
2168,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
2169,Chứng đau nửa đầu,ợ chua,khó tiêu,đau đầu,thị lực mờ
2170,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
2171,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
2172,Thoái hóa đốt sống cổ,mỏi chân tay,đau cổ,chóng mặt,chóng mặt
2173,Thoái hóa đốt sống cổ,đau lưng,đau cổ,chóng mặt,chóng mặt
2174,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,chóng mặt,chóng mặt
2175,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
2176,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
2177,Thoái hóa đốt sống cổ,đau lưng,mỏi chân tay,đau cổ,chóng mặt
2178,Thoái hóa đốt sống cổ,mỏi chân tay,đau cổ,chóng mặt,chóng mặt
2179,Thoái hóa đốt sống cổ,đau lưng,đau cổ,chóng mặt,chóng mặt
2180,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
2181,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
2182,Liệt (xuất huyết não),đau đầu,yếu một bên cơ thể,lú lẫn,
2183,Liệt (xuất huyết não),nôn mửa,yếu một bên cơ thể,lú lẫn,
2184,Liệt (xuất huyết não),nôn mửa,đau đầu,lú lẫn,
2185,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,
2186,Liệt (xuất huyết não),nôn mửa,đau đầu,yếu một bên cơ thể,lú lẫn
2187,Liệt (xuất huyết não),đau đầu,yếu một bên cơ thể,lú lẫn,
2188,Liệt (xuất huyết não),nôn mửa,yếu một bên cơ thể,lú lẫn,
2189,Liệt (xuất huyết não),nôn mửa,đau đầu,lú lẫn,
2190,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
2191,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
2192,Vàng da,nôn mửa,mệt mỏi,tụt cân,sốt cao
2193,Vàng da,ngứa,mệt mỏi,tụt cân,sốt cao
2194,Vàng da,ngứa,nôn mửa,tụt cân,sốt cao
2195,Vàng da,ngứa,nôn mửa,mệt mỏi,sốt cao
2196,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
2197,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
2198,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
2199,Vàng da,ngứa,nôn mửa,mệt mỏi,tụt cân
2200,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
2201,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
2202,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
2203,Sốt rét,nôn mửa,sốt cao,đổ mồ hôi,đau đầu
2204,Sốt rét,ớn lạnh,sốt cao,đổ mồ hôi,đau đầu
2205,Sốt rét,ớn lạnh,nôn mửa,đổ mồ hôi,đau đầu
2206,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đau đầu
2207,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
2208,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
2209,Sốt rét,ớn lạnh,nôn mửa,sốt cao,đổ mồ hôi
2210,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
2211,Thủy đậu,phát ban da,mệt mỏi,hôn mê,sốt cao
2212,Thủy đậu,ngứa,mệt mỏi,hôn mê,sốt cao
2213,Thủy đậu,ngứa,phát ban da,hôn mê,sốt cao
2214,Thủy đậu,ngứa,phát ban da,mệt mỏi,sốt cao
2215,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
2216,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
2217,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
2218,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
2219,Thủy đậu,ngứa,phát ban da,mệt mỏi,hôn mê
2220,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
2221,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
2222,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
2223,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
2224,Sốt xuất huyết,ớn lạnh,đau khớp,nôn mửa,mệt mỏi
2225,Sốt xuất huyết,phát ban da,đau khớp,nôn mửa,mệt mỏi
2226,Sốt xuất huyết,phát ban da,ớn lạnh,nôn mửa,mệt mỏi
2227,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,mệt mỏi
2228,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
2229,Sốt xuất huyết,phát ban da,ớn lạnh,đau khớp,nôn mửa
2230,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
2231,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
2232,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
2233,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
2234,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
2235,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
2236,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
2237,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
2238,Bệnh thương hàn,ớn lạnh,nôn mửa,mệt mỏi,sốt cao
2239,Bệnh thương hàn,ớn lạnh,mệt mỏi,sốt cao,đau đầu
2240,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
2241,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
2242,Viêm gan A,nôn mửa,vàng da,nước tiểu sẫm màu,buồn nôn
2243,Viêm gan A,đau khớp,vàng da,nước tiểu sẫm màu,buồn nôn
2244,Viêm gan A,đau khớp,nôn mửa,nước tiểu sẫm màu,buồn nôn
2245,Viêm gan A,đau khớp,nôn mửa,vàng da,buồn nôn
2246,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
2247,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
2248,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
2249,Viêm gan A,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
2250,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
2251,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
2252,Viêm gan B,mệt mỏi,hôn mê,vàng da,nước tiểu sẫm màu
2253,Viêm gan B,ngứa,hôn mê,vàng da,nước tiểu sẫm màu
2254,Viêm gan B,ngứa,mệt mỏi,vàng da,nước tiểu sẫm màu
2255,Viêm gan B,ngứa,mệt mỏi,hôn mê,nước tiểu sẫm màu
2256,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
2257,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
2258,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
2259,Viêm gan B,ngứa,mệt mỏi,hôn mê,vàng da
2260,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
2261,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
2262,Viêm gan C,vàng da,buồn nôn,không thèm ăn,mắt vàng
2263,Viêm gan C,mệt mỏi,buồn nôn,không thèm ăn,mắt vàng
2264,Viêm gan C,mệt mỏi,vàng da,không thèm ăn,mắt vàng
2265,Viêm gan C,mệt mỏi,vàng da,buồn nôn,mắt vàng
2266,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
2267,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
2268,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
2269,Viêm gan C,mệt mỏi,vàng da,buồn nôn,không thèm ăn
2270,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
2271,Viêm gan D,nôn mửa,mệt mỏi,vàng da,nước tiểu sẫm màu
2272,Viêm gan D,đau khớp,mệt mỏi,vàng da,nước tiểu sẫm màu
2273,Viêm gan D,đau khớp,nôn mửa,vàng da,nước tiểu sẫm màu
2274,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,nước tiểu sẫm màu
2275,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
2276,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
2277,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
2278,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
2279,Viêm gan D,đau khớp,nôn mửa,mệt mỏi,vàng da
2280,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
2281,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
2282,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
2283,Viêm gan E,nôn mửa,mệt mỏi,sốt cao,vàng da
2284,Viêm gan E,đau khớp,mệt mỏi,sốt cao,vàng da
2285,Viêm gan E,đau khớp,nôn mửa,sốt cao,vàng da
2286,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,vàng da
2287,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
2288,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
2289,Viêm gan E,đau khớp,nôn mửa,mệt mỏi,sốt cao
2290,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
2291,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
2292,Viêm gan Do rượu,vàng da,đau bụng,sưng dạ dày,chướng bụng
2293,Viêm gan Do rượu,nôn mửa,đau bụng,sưng dạ dày,chướng bụng
2294,Viêm gan Do rượu,nôn mửa,vàng da,sưng dạ dày,chướng bụng
2295,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,chướng bụng
2296,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
2297,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
2298,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
2299,Viêm gan Do rượu,nôn mửa,vàng da,đau bụng,sưng dạ dày
2300,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
2301,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
2302,Bệnh lao,nôn mửa,mệt mỏi,tụt cân,ho
2303,Bệnh lao,ớn lạnh,mệt mỏi,tụt cân,ho
2304,Bệnh lao,ớn lạnh,nôn mửa,tụt cân,ho
2305,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,ho
2306,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
2307,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
2308,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
2309,Bệnh lao,ớn lạnh,nôn mửa,mệt mỏi,tụt cân
2310,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
2311,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
2312,Cảm lạnh thông thường,ớn lạnh,mệt mỏi,ho,sốt cao
2313,Cảm lạnh thông thường,hắt hơi liên tục,mệt mỏi,ho,sốt cao
2314,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,ho,sốt cao
2315,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,sốt cao
2316,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
2317,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
2318,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
2319,Cảm lạnh thông thường,hắt hơi liên tục,ớn lạnh,mệt mỏi,ho
2320,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
2321,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
2322,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
2323,Viêm phổi,mệt mỏi,ho,sốt cao,khó thở
2324,Viêm phổi,ớn lạnh,ho,sốt cao,khó thở
2325,Viêm phổi,ớn lạnh,mệt mỏi,sốt cao,khó thở
2326,Viêm phổi,ớn lạnh,mệt mỏi,ho,khó thở
2327,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
2328,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
2329,Viêm phổi,ớn lạnh,mệt mỏi,ho,sốt cao
2330,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
2331,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
2332,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
2333,Bệnh trĩ lưỡng hình (cọc),đau khi đi tiểu,đau hậu môn,phân có máu,ngứa hậu môn
2334,Bệnh trĩ lưỡng hình (cọc),táo bón,đau hậu môn,phân có máu,ngứa hậu môn
2335,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,phân có máu,ngứa hậu môn
2336,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,ngứa hậu môn
2337,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
2338,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
2339,Bệnh trĩ lưỡng hình (cọc),táo bón,đau khi đi tiểu,đau hậu môn,phân có máu
2340,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
2341,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
2342,Đau tim,khó thở,đổ mồ hôi,đau ngực,
2343,Đau tim,nôn mửa,đổ mồ hôi,đau ngực,
2344,Đau tim,nôn mửa,khó thở,đau ngực,
2345,Đau tim,nôn mửa,khó thở,đổ mồ hôi,
2346,Đau tim,nôn mửa,khó thở,đổ mồ hôi,đau ngực
2347,Đau tim,khó thở,đổ mồ hôi,đau ngực,
2348,Đau tim,nôn mửa,đổ mồ hôi,đau ngực,
2349,Đau tim,nôn mửa,khó thở,đau ngực,
2350,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
2351,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
2352,Giãn tĩnh mạch,chuột rút,bầm tím,béo phì,sưng chân
2353,Giãn tĩnh mạch,mệt mỏi,bầm tím,béo phì,sưng chân
2354,Giãn tĩnh mạch,mệt mỏi,chuột rút,béo phì,sưng chân
2355,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,sưng chân
2356,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
2357,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
2358,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
2359,Giãn tĩnh mạch,mệt mỏi,chuột rút,bầm tím,béo phì
2360,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
2361,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
2362,Suy giáp,tăng cân,tay và chân lạnh,tâm trạng thất thường,hôn mê
2363,Suy giáp,tăng cân,tay và chân lạnh,tâm trạng thất thường,hôn mê
2364,Suy giáp,mệt mỏi,tay và chân lạnh,tâm trạng thất thường,hôn mê
2365,Suy giáp,mệt mỏi,tăng cân,tâm trạng thất thường,hôn mê
2366,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,hôn mê
2367,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
2368,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
2369,Suy giáp,mệt mỏi,tăng cân,tay và chân lạnh,tâm trạng thất thường
2370,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
2371,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
2372,Bệnh cường giáp,tâm trạng thất thường,tụt cân,bồn chồn,đổ mồ hôi
2373,Bệnh cường giáp,mệt mỏi,tụt cân,bồn chồn,đổ mồ hôi
2374,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,bồn chồn,đổ mồ hôi
2375,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,đổ mồ hôi
2376,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
2377,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
2378,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
2379,Bệnh cường giáp,mệt mỏi,tâm trạng thất thường,tụt cân,bồn chồn
2380,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
2381,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
2382,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
2383,Hạ đường huyết,mệt mỏi,lo âu,đổ mồ hôi,đau đầu
2384,Hạ đường huyết,nôn mửa,lo âu,đổ mồ hôi,đau đầu
2385,Hạ đường huyết,nôn mửa,mệt mỏi,đổ mồ hôi,đau đầu
2386,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đau đầu
2387,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
2388,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
2389,Hạ đường huyết,nôn mửa,mệt mỏi,lo âu,đổ mồ hôi
2390,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
2391,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
2392,Viêm xương khớp,đau cổ,đau đầu gối,đau khớp hông,sưng khớp
2393,Viêm xương khớp,đau khớp,đau đầu gối,đau khớp hông,sưng khớp
2394,Viêm xương khớp,đau khớp,đau cổ,đau khớp hông,sưng khớp
2395,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,sưng khớp
2396,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
2397,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
2398,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
2399,Viêm xương khớp,đau khớp,đau cổ,đau đầu gối,đau khớp hông
2400,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
2401,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
2402,Viêm khớp,cổ cứng,sưng khớp,cứng cổ không xoay được,đau khi đi bộ
2403,Viêm khớp,yếu cơ,sưng khớp,cứng cổ không xoay được,đau khi đi bộ
2404,Viêm khớp,yếu cơ,cổ cứng,cứng cổ không xoay được,đau khi đi bộ
2405,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,đau khi đi bộ
2406,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
2407,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
2408,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
2409,Viêm khớp,yếu cơ,cổ cứng,sưng khớp,cứng cổ không xoay được
2410,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
2411,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
2412,(Chóng mặt) Chóng mặt tư thế kịch phát,đau đầu,buồn nôn,cứng cơ,chóng mặt
2413,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,buồn nôn,cứng cơ,chóng mặt
2414,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,cứng cơ,chóng mặt
2415,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,chóng mặt
2416,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
2417,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
2418,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,cứng cơ
2419,(Chóng mặt) Chóng mặt tư thế kịch phát,nôn mửa,đau đầu,buồn nôn,chóng mặt
2420,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
2421,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
2422,Mụn trứng cá,nổi mụn mủ,mụn đầu đen,thiếu vitamin c,
2423,Mụn trứng cá,phát ban da,mụn đầu đen,thiếu vitamin c,
2424,Mụn trứng cá,phát ban da,nổi mụn mủ,thiếu vitamin c,
2425,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,
2426,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,thiếu vitamin c
2427,Mụn trứng cá,phát ban da,nổi mụn mủ,mụn đầu đen,
2428,Mụn trứng cá,phát ban da,nổi mụn mủ,thiếu vitamin c,
2429,Mụn trứng cá,phát ban da,mụn đầu đen,thiếu vitamin c,
2430,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
2431,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
2432,Nhiễm trùng đường tiết niệu,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục,
2433,Nhiễm trùng đường tiết niệu,đi tiểu rát,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục,
2434,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,cảm giác muốn đi tiểu liên tục,
2435,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,
2436,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục
2437,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,cảm giác muốn đi tiểu liên tục,
2438,Nhiễm trùng đường tiết niệu,khó chịu bàng quang,mùi hôi của nước tiểu,cảm giác muốn đi tiểu liên tục,
2439,Nhiễm trùng đường tiết niệu,đi tiểu rát,khó chịu bàng quang,cảm giác muốn đi tiểu liên tục,
2440,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
2441,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
2442,Bệnh vẩy nến,đau khớp,bong tróc da,da bị vẩy,móng tay bị lõm
2443,Bệnh vẩy nến,phát ban da,bong tróc da,da bị vẩy,móng tay bị lõm
2444,Bệnh vẩy nến,phát ban da,đau khớp,da bị vẩy,móng tay bị lõm
2445,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,móng tay bị lõm
2446,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
2447,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
2448,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
2449,Bệnh vẩy nến,phát ban da,đau khớp,bong tróc da,da bị vẩy
2450,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
2451,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
2452,Bệnh chốc lở,sốt cao,mụn rộp,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
2453,Bệnh chốc lở,phát ban da,mụn rộp,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
2454,Bệnh chốc lở,phát ban da,mụn rộp,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
2455,Bệnh chốc lở,phát ban da,sốt cao,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
2456,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,rỉ ra vỏ màu vàng
2457,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
2458,Bệnh chốc lở,phát ban da,sốt cao,mụn rộp,xung quanh mũi bị đỏ
2459,Bệnh chốc lở,phát ban da,mụn rộp,xung quanh mũi bị đỏ,rỉ ra vỏ màu vàng
